dataset,model,flavor,pred_len,seq_len,sigma,seed,mse,mae,crps,swd,ept
doublewell,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,1955,0.04697522529525829,0.1692833115553198,0.1318770209584318,0.044600263237953186,64.0
doublewell,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,1955,0.04700532888730045,0.1690297782199683,0.13176061314924148,0.04520438611507416,192.0
doublewell_param_shock,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,1955,0.5344020036376169,0.4821028641356841,0.40282110005730565,0.5007324814796448,50.019981384277344
doublewell_param_shock,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,1955,0.8767365848885239,0.6577623677149048,0.5638978464232631,0.7971835732460022,103.86373138427734
doublewell_switch,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,1955,0.37894871717515616,0.39823245775348,0.3291084487221561,0.3498339354991913,55.574214935302734
doublewell_switch,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,1955,0.8822852375941356,0.6538712012932857,0.5532632907578889,0.8023684024810791,126.89209747314453
lorenz96,chronos-bolt-base,chronos,64,336,0.0,0,9.430014918960497,2.0207979149184756,1.6322133846967481,8.174226760864258,51.017051696777344
lorenz96,chronos-bolt-base,chronos,192,336,0.0,0,18.418207327844375,3.169406415203677,2.6165260296814754,11.606705665588379,79.2656478881836
lorenz96,chronos-bolt-small,chronos_small,64,336,0.0,0,9.204269379272223,2.001714473391894,1.6273754943660175,8.081202507019043,51.37691116333008
lorenz96,chronos-bolt-small,chronos_small,192,336,0.0,0,17.453101898099284,3.1020169000983935,2.5871850076776743,10.586005210876465,80.45761108398438
lorenz96,chronos-2,chronos2,64,336,0.0,0,6.329506393945032,1.618093203738143,1.2836524400970568,5.374636650085449,54.52786636352539
lorenz96,chronos-2,chronos2,192,336,0.0,0,15.05697201947523,2.869633349657368,2.281960171541393,9.061074256896973,87.10498046875
lorenz96_switch,chronos-bolt-base,chronos,64,336,0.0,0,12.577981292632893,2.3351501281411293,1.8698140383350854,11.013419151306152,48.883705139160156
lorenz96_switch,chronos-bolt-base,chronos,192,336,0.0,0,21.830694044796832,3.5096533359101008,2.8533937044380786,14.974309921264648,71.04222106933594
lorenz96_switch,chronos-bolt-small,chronos_small,64,336,0.0,0,12.472743631639808,2.3183935412889554,1.8809968504475936,11.046958923339844,49.384521484375
lorenz96_switch,chronos-bolt-small,chronos_small,192,336,0.0,0,21.129869712696998,3.465925710831742,2.8563610152350787,14.002126693725586,73.02650451660156
lorenz96_switch,chronos-2,chronos2,64,336,0.0,0,9.272649918788868,1.9514716873757125,1.5522434196896013,7.8312602043151855,52.31709671020508
lorenz96_switch,chronos-2,chronos2,192,336,0.0,0,18.81227783781218,3.2420521744538613,2.553242141450559,11.512919425964355,83.07452392578125
lorenz96,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,6.899732704616194,1.6421495609839227,1.3137954728594874,5.670613765716553,54.2883186340332
lorenz96,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,16.291047769146086,2.9860429343262047,2.395579783069418,9.176359176635742,83.64401245117188
lorenz96_switch,timesfm-2.5-200m-pytorch,timefm,64,336,0.0,0,10.072365822985828,1.9846889416594824,1.587926234504288,8.19168758392334,51.98017120361328
lorenz96_switch,timesfm-2.5-200m-pytorch,timefm,192,336,0.0,0,20.713061369642976,3.407803488295386,2.7080536538582995,11.761588096618652,76.2137451171875
lorenz,chronos-bolt-base,chronos,64,336,0.0,0,70.98928593074756,6.090775770755233,4.819762154816216,52.842132568359375,37.44007110595703
lorenz,chronos-bolt-base,chronos,192,336,0.0,0,92.18251055197373,7.557672588539972,5.96832134943746,55.02202606201172,41.12419891357422
lorenz,chronos-bolt-small,chronos_small,64,336,0.0,0,71.28794290561869,6.24093510664392,4.916681936926039,52.599308013916016,35.35249328613281
lorenz,chronos-bolt-small,chronos_small,192,336,0.0,0,91.12158836935495,7.561214944806581,5.983600215832212,56.63368606567383,38.345157623291016
lorenz,chronos-2,chronos2,64,336,0.0,0,54.898849028095064,4.772310326276416,3.88167137353852,31.48077392578125,45.31604766845703
lorenz,chronos-2,chronos2,192,336,0.0,0,92.82619736865892,7.1286701688315794,5.8015147722366125,35.29739761352539,53.79270935058594
lorenz_param_shock,chronos-bolt-base,chronos,64,336,0.0,0,61.0349664645407,5.554223548915378,4.393624964063768,46.172386169433594,41.248046875
lorenz_param_shock,chronos-bolt-base,chronos,192,336,0.0,0,86.35267906576544,7.261896848101012,5.793173325295846,55.34103775024414,49.8032341003418
lorenz_param_shock,chronos-bolt-small,chronos_small,64,336,0.0,0,61.71895937416611,5.68477183084469,4.496755789260523,47.41920852661133,39.40633010864258
lorenz_param_shock,chronos-bolt-small,chronos_small,192,336,0.0,0,82.39968875490948,7.132871193676668,5.688276794833725,56.53276443481445,49.262935638427734
lorenz_param_shock,chronos-2,chronos2,64,336,0.0,0,46.94081557930404,4.06422028824102,3.3038414523593587,29.716869354248047,49.336666107177734
lorenz_param_shock,chronos-2,chronos2,192,336,0.0,0,83.7695378176185,6.519098488960469,5.332404787931723,31.531450271606445,76.20858764648438
lorenz_state_shock,chronos-bolt-base,chronos,64,336,0.0,0,63.52955212563782,5.793743126791839,4.564622504604641,48.31879425048828,38.97063446044922
