dataset,model,flavor,pred_len,seq_len,sigma,seed,mse,mae,crps,swd,ept,experiment
doublewell_ode0,chronos-bolt-base,chronos,64,336,0.0,1955,0.04706599653391017,0.16928474626350584,0.1324195136005089,0.04519631713628769,64.0,doublewell
doublewell_ode0,chronos-bolt-base,chronos,192,336,0.0,1955,0.047033161941471634,0.16895897828900544,0.13549941276570945,0.04533177986741066,192.0,doublewell
doublewell_ode0,chronos-bolt-base,chronos,64,336,0.25,1955,0.111054004316212,0.2646251607236127,0.2051649083986836,0.1061142235994339,61.59847640991211,doublewell
doublewell_ode0,chronos-bolt-base,chronos,192,336,0.25,1955,0.11142642656639998,0.2646459826179873,0.20928963876151024,0.10718446224927902,171.844482421875,doublewell
doublewell_ode0,chronos-bolt-base,chronos,64,336,1.0,1955,1.0675939320383698,0.8212981115172411,0.637317702046584,0.9965400099754333,2.9690771102905273,doublewell
doublewell_ode0,chronos-bolt-base,chronos,192,336,1.0,1955,1.0717854575505332,0.8229239533697178,0.6504329493101365,1.0149991512298584,2.984802484512329,doublewell
doublewell_ode0,chronos-bolt-base,chronos,64,336,2.0,1955,4.127091386905747,1.6162626818176908,1.253681501697972,3.838315963745117,0.7564224600791931,doublewell
doublewell_ode0,chronos-bolt-base,chronos,192,336,2.0,1955,4.142995404697922,1.6203641057296283,1.2800705758996285,3.9144296646118164,0.7431610822677612,doublewell
doublewell_ode0,chronos-2,chronos2,64,336,0.0,1955,0.047389968676753096,0.16986003770474362,0.13255988547381733,0.04515337571501732,64.0,doublewell
doublewell_ode0,chronos-2,chronos2,192,336,0.0,1955,0.047195662923939764,0.1692151652925202,0.13216967893558673,0.045390598475933075,192.0,doublewell
doublewell_ode0,chronos-2,chronos2,64,336,0.25,1955,0.11081281386592295,0.2642156751126363,0.20469071725285926,0.10755185782909393,61.570884704589844,doublewell
doublewell_ode0,chronos-2,chronos2,192,336,0.25,1955,0.1113935491194076,0.264700911810816,0.20522739076958602,0.10755260288715363,171.9696044921875,doublewell
doublewell_ode0,chronos-2,chronos2,64,336,1.0,1955,1.0680610936216577,0.8221463472019708,0.6372623682929491,1.0170339345932007,2.9671740531921387,doublewell
doublewell_ode0,chronos-2,chronos2,192,336,1.0,1955,1.0778142690094932,0.8262018102602715,0.64050667868076,1.0133813619613647,3.0,doublewell
doublewell_ode0,chronos-2,chronos2,64,336,2.0,1955,4.129836586063868,1.618383786884747,1.2538313977384885,3.9183855056762695,0.7540437579154968,doublewell
doublewell_ode0,chronos-2,chronos2,192,336,2.0,1955,4.168273255858056,1.6269760621395195,1.2605119621137717,3.908616304397583,0.7477203607559204,doublewell
doublewell_param_shock_ode0,chronos-bolt-base,chronos,64,336,0.0,1955,0.6010242338752202,0.5146106689119203,0.42238001282956916,0.5273092985153198,48.12226486206055,doublewell_param_shock
doublewell_param_shock_ode0,chronos-bolt-base,chronos,192,336,0.0,1955,0.9136637076056112,0.6712426865515536,0.5767705402173774,0.7727341651916504,100.90982818603516,doublewell_param_shock
doublewell_param_shock_ode0,chronos-bolt-base,chronos,64,336,0.25,1955,0.6234246838330996,0.5552610892777665,0.4484756593118385,0.5432491898536682,41.105613708496094,doublewell_param_shock
doublewell_param_shock_ode0,chronos-bolt-base,chronos,192,336,0.25,1955,0.9325324757120892,0.7033795553540426,0.5922995226829489,0.790401041507721,67.89412689208984,doublewell_param_shock
doublewell_param_shock_ode0,chronos-bolt-base,chronos,64,336,1.0,1955,1.5450640777312041,0.9864600609871005,0.764314124036357,1.3685736656188965,2.1241674423217773,doublewell_param_shock
doublewell_param_shock_ode0,chronos-bolt-base,chronos,192,336,1.0,1955,1.817825868781134,1.071982280984999,0.8525604186268201,1.6385399103164673,2.1393110752105713,doublewell_param_shock
doublewell_param_shock_ode0,chronos-bolt-base,chronos,64,336,2.0,1955,4.621004062873992,1.7206746154915822,1.3269735917264682,4.199132919311523,0.6084681153297424,doublewell_param_shock
doublewell_param_shock_ode0,chronos-bolt-base,chronos,192,336,2.0,1955,4.8932505011437755,1.7694664375075857,1.3905668406017888,4.543090343475342,0.609929084777832,doublewell_param_shock
doublewell_param_shock_ode0,chronos-2,chronos2,64,336,0.0,1955,0.6298565748869862,0.5275565876947144,0.43103280645767694,0.5654908418655396,48.412940979003906,doublewell_param_shock
doublewell_param_shock_ode0,chronos-2,chronos2,192,336,0.0,1955,0.9805922677330937,0.7083448167187022,0.5984418057546911,0.8343462347984314,98.72137451171875,doublewell_param_shock
doublewell_param_shock_ode0,chronos-2,chronos2,64,336,0.25,1955,0.6711895817467193,0.5743508116615942,0.472741168541754,0.6018581390380859,41.70551681518555,doublewell_param_shock
doublewell_param_shock_ode0,chronos-2,chronos2,192,336,0.25,1955,0.9914365334915012,0.7360306610653667,0.6133830929524148,0.8422724008560181,66.18844604492188,doublewell_param_shock
doublewell_param_shock_ode0,chronos-2,chronos2,64,336,1.0,1955,1.5656214313888186,0.9910876676085787,0.7712430994245237,1.4166468381881714,2.0865840911865234,doublewell_param_shock
doublewell_param_shock_ode0,chronos-2,chronos2,192,336,1.0,1955,1.8687274988258824,1.0859622356256333,0.8480875899726497,1.5947483777999878,2.0840930938720703,doublewell_param_shock
doublewell_param_shock_ode0,chronos-2,chronos2,64,336,2.0,1955,4.703210295324207,1.7329871407244797,1.3387252868185942,4.3750410079956055,0.6303520202636719,doublewell_param_shock
doublewell_param_shock_ode0,chronos-2,chronos2,192,336,2.0,1955,5.112096722727489,1.8093725820925943,1.3976590900314856,4.554422378540039,0.6347517967224121,doublewell_param_shock
doublewell_switch_ode0,chronos-bolt-base,chronos,64,336,0.0,1955,0.362604676684689,0.3899179677187432,0.3203239899011706,0.32724529504776,56.0366325378418,doublewell_switch
doublewell_switch_ode0,chronos-bolt-base,chronos,192,336,0.0,1955,0.7524943111797153,0.599395596067151,0.5128762987352674,0.7147405743598938,135.87741088867188,doublewell_switch
doublewell_switch_ode0,chronos-bolt-base,chronos,64,336,0.25,1955,0.41914410663717255,0.4503628917244023,0.36383574918181866,0.3748183250427246,45.24928665161133,doublewell_switch
doublewell_switch_ode0,chronos-bolt-base,chronos,192,336,0.25,1955,0.8039802614396909,0.6471008859909454,0.5461636375571698,0.7563430666923523,77.22087097167969,doublewell_switch
doublewell_switch_ode0,chronos-bolt-base,chronos,64,336,1.0,1955,1.3787790823844814,0.9272673644983236,0.7212952943385839,1.240549921989441,2.0699334144592285,doublewell_switch
doublewell_switch_ode0,chronos-bolt-base,chronos,192,336,1.0,1955,1.7002546831547751,1.034192707199617,0.819482990703805,1.5452344417572021,2.0238094329833984,doublewell_switch
doublewell_switch_ode0,chronos-bolt-base,chronos,64,336,2.0,1955,4.463266477938724,1.6806781099139794,1.3028515545557386,4.068286895751953,0.6665080785751343,doublewell_switch
doublewell_switch_ode0,chronos-bolt-base,chronos,192,336,2.0,1955,4.749763032706434,1.73844898330807,1.3677787167806152,4.376755237579346,0.6671732664108276,doublewell_switch
doublewell_switch_ode0,chronos-2,chronos2,64,336,0.0,1955,0.3674141054886165,0.390358863673133,0.32282078718424523,0.3320166766643524,55.88629913330078,doublewell_switch
doublewell_switch_ode0,chronos-2,chronos2,192,336,0.0,1955,0.7949491025466687,0.621296437839043,0.5135950090659909,0.7309499979019165,130.3155975341797,doublewell_switch
doublewell_switch_ode0,chronos-2,chronos2,64,336,0.25,1955,0.4603695648267766,0.4689585990161696,0.38004788637983583,0.4036978483200073,45.840152740478516,doublewell_switch
doublewell_switch_ode0,chronos-2,chronos2,192,336,0.25,1955,0.8925078352413158,0.6869375350627493,0.5514783419162911,0.802780032157898,74.98429870605469,doublewell_switch
doublewell_switch_ode0,chronos-2,chronos2,64,336,1.0,1955,1.3960971147190606,0.932950545219327,0.7267792492566167,1.2450411319732666,2.080399513244629,doublewell_switch
